City,Country,Stadium,Capacity,Latitude,Longitude
New York/New Jersey,USA,MetLife Stadium,82500,40.8128,-74.0742
Dallas,USA,AT&T Stadium,80000,32.7473,-97.0945
Kansas City,USA,Arrowhead Stadium,76416,39.0489,-94.4839
Houston,USA,NRG Stadium,72220,29.6847,-95.4107
Atlanta,USA,Mercedes-Benz Stadium,71000,33.7555,-84.4008
Los Angeles,USA,SoFi Stadium,70240,33.9535,-118.3390
Philadelphia,USA,Lincoln Financial Field,69796,39.9008,-75.1675
Seattle,USA,Lumen Field,69000,47.5952,-122.3316
San Francisco,USA,Levi's Stadium,68500,37.4033,-121.9694
Boston,USA,Gillette Stadium,65878,42.0909,-71.2643
Miami,USA,Hard Rock Stadium,64767,25.9580,-80.2389
Mexico City,Mexico,Estadio Azteca,87523,19.3029,-99.1505
Monterrey,Mexico,Estadio BBVA,53500,25.6701,-100.2447
Guadalajara,Mexico,Estadio Akron,48071,20.6811,-103.4627
Vancouver,Canada,BC Place,54500,49.2768,-123.1120
Toronto,Canada,BMO Field,45000,43.6333,-79.4186
